time,CA_130 PINN,CB,CC_130 PINN,CD_130 PINN
4.030000000000000249e+00,2.649973928928375244e-01,1.280742645263671875e+00,2.232112437486648560e-01,3.674364648759365082e-03
4.040000000000000036e+00,2.645527720451354980e-01,1.280382633209228516e+00,2.236235737800598145e-01,3.686473704874515533e-03
4.049999999999999822e+00,2.641085088253021240e-01,1.280022978782653809e+00,2.240350544452667236e-01,3.698364831507205963e-03
4.060000000000000497e+00,2.636650502681732178e-01,1.279664278030395508e+00,2.244454175233840942e-01,3.710305318236351013e-03
4.070000000000000284e+00,2.632221281528472900e-01,1.279306411743164062e+00,2.248549461364746094e-01,3.722328692674636841e-03
4.080000000000000071e+00,2.627800107002258301e-01,1.278949141502380371e+00,2.252635061740875244e-01,3.734410740435123444e-03
4.089999999999999858e+00,2.623382508754730225e-01,1.278592586517333984e+00,2.256709933280944824e-01,3.746201284229755402e-03
4.099999999999999645e+00,2.618974447250366211e-01,1.278237223625183105e+00,2.260774970054626465e-01,3.758075647056102753e-03
4.110000000000000320e+00,2.614572346210479736e-01,1.277882337570190430e+00,2.264830023050308228e-01,3.769889473915100098e-03
4.120000000000000107e+00,2.610175907611846924e-01,1.277528047561645508e+00,2.268875837326049805e-01,3.781683743000030518e-03
4.129999999999999893e+00,2.605787217617034912e-01,1.277174592018127441e+00,2.272911816835403442e-01,3.793524578213691711e-03
4.139999999999999680e+00,2.601406574249267578e-01,1.276822209358215332e+00,2.276936918497085571e-01,3.805395215749740601e-03
4.150000000000000355e+00,2.597030401229858398e-01,1.276469945907592773e+00,2.280952781438827515e-01,3.817070275545120239e-03
4.160000000000000142e+00,2.592661380767822266e-01,1.276118874549865723e+00,2.284958511590957642e-01,3.828685730695724487e-03
4.169999999999999929e+00,2.588299810886383057e-01,1.275768399238586426e+00,2.288955897092819214e-01,3.840387798845767975e-03
4.179999999999999716e+00,2.583944797515869141e-01,1.275418877601623535e+00,2.292942106723785400e-01,3.852104768157005310e-03
4.190000000000000391e+00,2.579595744609832764e-01,1.275069952011108398e+00,2.296919077634811401e-01,3.863665275275707245e-03
4.200000000000000178e+00,2.575255632400512695e-01,1.274721860885620117e+00,2.300884276628494263e-01,3.875184804201126099e-03
4.209999999999999964e+00,2.570919394493103027e-01,1.274374365806579590e+00,2.304842770099639893e-01,3.886740654706954956e-03
4.219999999999999751e+00,2.566590309143066406e-01,1.274027466773986816e+00,2.308790683746337891e-01,3.898277878761291504e-03
4.230000000000000426e+00,2.562272846698760986e-01,1.273681879043579102e+00,2.312727570533752441e-01,3.909978084266185760e-03
4.240000000000000213e+00,2.557956874370574951e-01,1.273336648941040039e+00,2.316654771566390991e-01,3.921359777450561523e-03
4.250000000000000000e+00,2.553648650646209717e-01,1.272992014884948730e+00,2.320573031902313232e-01,3.932706080377101898e-03
4.259999999999999787e+00,2.549348175525665283e-01,1.272648096084594727e+00,2.324481159448623657e-01,3.944161348044872284e-03
4.270000000000000462e+00,2.545053362846374512e-01,1.272304892539978027e+00,2.328380197286605835e-01,3.955611027777194977e-03
4.280000000000000249e+00,2.540768682956695557e-01,1.271963000297546387e+00,2.332267016172409058e-01,3.966796211898326874e-03
4.290000000000000036e+00,2.536487281322479248e-01,1.271621346473693848e+00,2.336146533489227295e-01,3.978091292083263397e-03
4.299999999999999822e+00,2.532216310501098633e-01,1.271280646324157715e+00,2.340014278888702393e-01,3.989360295236110687e-03
4.310000000000000497e+00,2.527947723865509033e-01,1.270940423011779785e+00,2.343874573707580566e-01,4.000583663582801819e-03
4.320000000000000284e+00,2.523690164089202881e-01,1.270601153373718262e+00,2.347724139690399170e-01,4.011843353509902954e-03
4.330000000000000071e+00,2.519438862800598145e-01,1.270262598991394043e+00,2.351561635732650757e-01,4.022935405373573303e-03
4.339999999999999858e+00,2.515193819999694824e-01,1.269924759864807129e+00,2.355393767356872559e-01,4.034147597849369049e-03
4.350000000000000533e+00,2.510956227779388428e-01,1.269587635993957520e+00,2.359213382005691528e-01,4.045278765261173248e-03
4.360000000000000320e+00,2.506724298000335693e-01,1.269250750541687012e+00,2.363023310899734497e-01,4.056340083479881287e-03
4.370000000000000107e+00,2.502501010894775391e-01,1.268915057182312012e+00,2.366823256015777588e-01,4.067339934408664703e-03
4.379999999999999893e+00,2.498282939195632935e-01,1.268580198287963867e+00,2.370614707469940186e-01,4.078317433595657349e-03
4.389999999999999680e+00,2.494072765111923218e-01,1.268245577812194824e+00,2.374396473169326782e-01,4.089271649718284607e-03
4.400000000000000355e+00,2.489871829748153687e-01,1.267912268638610840e+00,2.378168106079101562e-01,4.100297577679157257e-03
4.410000000000000142e+00,2.485675066709518433e-01,1.267579078674316406e+00,2.381930649280548096e-01,4.111183807253837585e-03
4.419999999999999929e+00,2.481485456228256226e-01,1.267246723175048828e+00,2.385683357715606689e-01,4.121968522667884827e-03
4.429999999999999716e+00,2.477302998304367065e-01,1.266915082931518555e+00,2.389426827430725098e-01,4.132918082177639008e-03
4.440000000000000391e+00,2.473128288984298706e-01,1.266584396362304688e+00,2.393158525228500366e-01,4.143638536334037781e-03
4.450000000000000178e+00,2.468961030244827271e-01,1.266254305839538574e+00,2.396881729364395142e-01,4.154398106038570404e-03
4.459999999999999964e+00,2.464801818132400513e-01,1.265925049781799316e+00,2.400596290826797485e-01,4.165261052548885345e-03
4.469999999999999751e+00,2.460648566484451294e-01,1.265596389770507812e+00,2.404299974441528320e-01,4.175933077931404114e-03
4.480000000000000426e+00,2.456500679254531860e-01,1.265268206596374512e+00,2.407995313405990601e-01,4.186484031379222870e-03
4.490000000000000213e+00,2.452363818883895874e-01,1.264940977096557617e+00,2.411680817604064941e-01,4.197251051664352417e-03
4.500000000000000000e+00,2.448230236768722534e-01,1.264614224433898926e+00,2.415356934070587158e-01,4.207757301628589630e-03
4.509999999999999787e+00,2.444104701280593872e-01,1.264288306236267090e+00,2.419021725654602051e-01,4.218189045786857605e-03
4.520000000000000462e+00,2.439990192651748657e-01,1.263963341712951660e+00,2.422678768634796143e-01,4.228942096233367920e-03
4.530000000000000249e+00,2.435877770185470581e-01,1.263638615608215332e+00,2.426325082778930664e-01,4.239249974489212036e-03
4.540000000000000036e+00,2.431773990392684937e-01,1.263314843177795410e+00,2.429962903261184692e-01,4.249783232808113098e-03
4.549999999999999822e+00,2.427677065134048462e-01,1.262991428375244141e+00,2.433591485023498535e-01,4.260103218257427216e-03
4.560000000000000497e+00,2.423587888479232788e-01,1.262668967247009277e+00,2.437209784984588623e-01,4.270489327609539032e-03
4.570000000000000284e+00,2.419506460428237915e-01,1.262347221374511719e+00,2.440819144248962402e-01,4.280815832316875458e-03
4.580000000000000071e+00,2.415431886911392212e-01,1.262026071548461914e+00,2.444419562816619873e-01,4.291160963475704193e-03
4.589999999999999858e+00,2.411362975835800171e-01,1.261705398559570312e+00,2.448010593652725220e-01,4.301419481635093689e-03
4.600000000000000533e+00,2.407303899526596069e-01,1.261385917663574219e+00,2.451589256525039673e-01,4.311609081923961639e-03
4.610000000000000320e+00,2.403249889612197876e-01,1.261066675186157227e+00,2.455161958932876587e-01,4.321861080825328827e-03
4.620000000000000107e+00,2.399203628301620483e-01,1.260748028755187988e+00,2.458725124597549438e-01,4.332028329372406006e-03
4.629999999999999893e+00,2.395165115594863892e-01,1.260430335998535156e+00,2.462277412414550781e-01,4.342115484178066254e-03
